Birthday,Road,Opp,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,0,CHI,4,7,0.571,1,3,0.333,3,3,1,0,1,1,12,12.8,0,0
0,0,PHI,6,12,0.5,4,10,0.4,1,2,0.5,0,0,3,17,13.4,0,0
0,1,SAS,3,11,0.273,2,8,0.25,0,0,0,0,0,3,8,2,0,0
0,1,GSW,5,18,0.278,1,8,0.125,3,3,1,0,1,4,14,9.7,0,0
0,1,LAL,4,14,0.286,3,7,0.429,0,0,0,0,2,1,11,14.8,0,0
0,1,POR,6,14,0.429,3,6,0.5,4,4,1,1,0,1,19,15.8,0,0
0,1,DEN,4,10,0.4,1,5,0.2,0,0,0,2,1,2,9,7.9,0,0
0,1,UTA,6,11,0.545,3,6,0.5,0,0,0,0,1,2,15,14.1,0,0
0,0,WAS,0,4,0,0,2,0,2,3,0.667,0,0,2,2,-2,0,0
0,0,CHI,7,13,0.538,1,4,0.25,2,2,1,2,0,2,17,14.7,0,0
0,0,NOP,7,13,0.538,4,10,0.4,0,0,0,0,0,2,18,15.6,0,0
0,1,BOS,5,10,0.5,4,8,0.5,5,5,1,0,1,4,19,15.6,0,0
0,1,HOU,4,12,0.333,2,7,0.286,9,10,0.9,0,1,4,19,17.7,1,0
0,1,NOP,6,12,0.5,4,10,0.4,6,6,1,2,0,2,22,20.6,0,0
0,0,NYK,8,12,0.667,5,7,0.714,1,1,1,0,0,2,22,23.4,0,0
0,0,WAS,4,10,0.4,1,6,0.167,1,2,0.5,0,2,3,10,8.7,0,0
0,1,NYK,7,15,0.467,4,10,0.4,7,8,0.875,2,2,3,25,20.7,0,0
0,1,IND,6,12,0.5,5,9,0.556,7,7,1,1,3,2,24,26.2,0,0
0,1,ATL,4,9,0.444,4,7,0.571,3,4,0.75,1,1,1,15,15,0,0
0,0,CHO,12,18,0.667,8,11,0.727,4,4,1,1,1,4,36,30.7,0,0
0,0,IND,4,11,0.364,3,9,0.333,0,0,0,1,0,2,11,9.2,0,0
0,0,PHO,7,12,0.583,5,10,0.5,1,2,0.5,1,2,2,20,20.4,0,0
0,1,MEM,5,14,0.357,4,9,0.444,2,2,1,0,2,0,16,16.6,1,0
0,1,SAC,4,17,0.235,3,12,0.25,4,6,0.667,2,1,1,15,11.1,0,0
0,1,LAC,4,13,0.308,0,8,0,6,8,0.75,0,1,1,14,5.7,0,0
0,1,PHO,3,12,0.25,2,7,0.286,4,4,1,0,1,2,12,10.5,0,0
0,0,BRK,4,9,0.444,2,5,0.4,0,0,0,3,4,1,10,20.5,0,0
0,0,SAC,5,11,0.455,4,8,0.5,2,2,1,0,2,1,16,16.3,0,0
0,1,CHO,4,7,0.571,3,5,0.6,0,0,0,0,0,4,11,9.6,0,0
0,1,PHI,6,15,0.4,3,9,0.333,8,8,1,4,3,1,23,17.6,0,0
0,0,PHI,3,7,0.429,1,5,0.2,5,5,1,0,3,4,12,10.1,0,0
0,1,DAL,6,17,0.353,4,8,0.5,7,8,0.875,0,1,3,23,18.5,0,0
0,1,OKC,3,10,0.3,2,7,0.286,5,5,1,2,3,3,13,15,0,0
0,0,ATL,5,15,0.333,2,9,0.222,0,0,0,1,0,1,12,7.5,0,0
0,0,MIL,7,13,0.538,5,10,0.5,7,10,0.7,1,1,5,26,21.6,0,0
0,1,CHI,5,14,0.357,2,7,0.286,4,4,1,2,2,2,16,9.5,0,0
0,1,MIL,5,10,0.5,4,8,0.5,1,2,0.5,1,2,2,15,14.8,0,0
0,1,BRK,7,14,0.5,3,6,0.5,1,1,1,0,1,2,18,16.4,0,0
0,0,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,GSW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,PHI,3,16,0.188,1,5,0.2,6,6,1,1,3,3,13,6.1,0,0
0,0,DET,5,14,0.357,4,10,0.4,4,5,0.8,3,1,2,18,14.4,0,0
0,0,SAS,8,16,0.5,4,9,0.444,4,5,0.8,0,1,3,24,17.1,0,0
0,1,MIN,14,25,0.56,6,10,0.6,6,7,0.857,1,0,5,40,31.1,0,0
0,1,ATL,3,10,0.3,3,9,0.333,0,1,0,1,1,1,9,4.8,0,0
0,0,UTA,2,14,0.143,0,6,0,1,2,0.5,0,1,3,5,-3.7,0,0
0,0,LAL,5,12,0.417,1,4,0.25,3,3,1,1,1,2,14,11.6,0,0
0,0,MIN,4,10,0.4,2,6,0.333,5,5,1,0,0,1,15,15.4,0,0
0,1,WAS,10,19,0.526,4,11,0.364,5,7,0.714,3,3,4,29,25.2,0,0
0,0,POR,5,13,0.385,2,6,0.333,3,4,0.75,3,1,2,15,13.6,0,0
0,0,MEM,4,11,0.364,1,6,0.167,2,2,1,1,2,2,11,4.8,1,0
0,0,BOS,6,13,0.462,6,11,0.545,5,7,0.714,2,2,1,23,22.1,0,0
0,0,NYK,2,10,0.2,2,8,0.25,1,2,0.5,0,2,2,7,3.3,0,0
0,1,CHO,4,9,0.444,4,9,0.444,0,0,0,1,0,1,12,13.1,0,0
0,0,MIA,8,17,0.471,4,8,0.5,2,3,0.667,2,2,3,22,20.3,0,0
0,1,CHI,5,10,0.5,4,7,0.571,6,6,1,1,1,2,20,24.7,0,0
0,0,MIL,4,12,0.333,3,10,0.3,6,6,1,0,2,6,17,15,0,0
0,0,DET,6,10,0.6,6,8,0.75,2,2,1,1,0,2,20,17.6,0,0
0,1,ORL,6,11,0.545,4,8,0.5,1,5,0.2,0,0,3,17,17.4,0,0
0,1,WAS,4,10,0.4,1,5,0.2,1,2,0.5,0,1,3,10,8.6,0,0
0,0,CHO,5,13,0.385,2,8,0.25,2,2,1,3,0,4,14,10,0,0
0,0,ATL,2,6,0.333,0,4,0,0,0,0,2,1,4,4,6.3,0,0
0,1,DET,4,8,0.5,3,7,0.429,4,5,0.8,1,4,3,15,25.4,0,0
0,0,HOU,10,14,0.714,7,9,0.778,3,4,0.75,0,1,2,30,26.1,1,0
0,1,NYK,3,8,0.375,2,7,0.286,8,8,1,0,2,2,16,17.9,0,0
0,1,BRK,4,13,0.308,1,8,0.125,2,2,1,1,1,2,11,12.7,0,0
0,1,IND,3,10,0.3,3,7,0.429,4,4,1,3,0,4,13,9.2,0,0
0,0,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,OKC,7,10,0.7,5,7,0.714,3,3,1,1,0,6,22,20.7,0,0
0,1,ORL,9,17,0.529,7,13,0.538,0,0,0,0,0,0,25,19.8,0,0
0,1,CLE,7,10,0.7,6,9,0.667,4,4,1,0,0,4,24,24.3,0,0
0,0,BRK,7,11,0.636,5,6,0.833,6,6,1,0,0,4,25,28.9,0,0
1,0,LAC,4,10,0.4,3,7,0.429,0,0,0,2,1,3,11,9.6,0,0
0,0,DEN,4,10,0.4,3,6,0.5,0,0,0,0,0,0,11,13.5,0,0
0,1,BOS,4,13,0.308,2,10,0.2,1,2,0.5,0,0,2,11,7.5,0,0
0,1,CLE,2,11,0.182,1,7,0.143,0,0,0,0,1,4,5,-1.9,0,0
0,0,BOS,5,11,0.455,2,7,0.286,1,2,0.5,1,1,3,13,9.8,0,0
0,0,IND,3,11,0.273,3,8,0.375,0,0,0,0,1,1,9,6.3,0,0
0,0,ORL,3,10,0.3,1,7,0.143,4,4,1,0,2,4,11,7.8,0,0
0,1,DET,4,8,0.5,3,7,0.429,0,0,0,0,0,3,11,12.6,0,0
0,1,MIA,10,20,0.5,5,10,0.5,3,4,0.75,1,0,1,28,25.9,0,0
