Birthday,Date,Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,10/18/2017,0,9,21,0.429,1,2,0.5,6,7,0.857,5,0,2,25,18.9,0,0
0,10/21/2017,1,12,24,0.5,0,2,0,4,4,1,5,1,2,28,23.7,0,0
0,10/23/2017,0,7,16,0.438,0,1,0,6,7,0.857,3,1,3,20,15.4,0,0
0,10/25/2017,1,12,20,0.6,1,1,1,6,7,0.857,1,2,4,31,23.7,0,0
0,10/27/2017,1,9,14,0.643,1,2,0.5,5,5,1,4,0,0,24,22.4,0,0
0,10/29/2017,1,10,21,0.476,1,2,0.5,5,7,0.714,3,0,3,26,16.6,0,0
0,10/30/2017,1,5,13,0.385,0,2,0,1,5,0.2,3,1,1,11,6.7,0,0
0,11/2/2017,0,8,22,0.364,2,4,0.5,6,8,0.75,5,2,3,24,17.6,0,0
0,11/3/2017,0,4,12,0.333,1,1,1,5,6,0.833,3,0,4,14,9.3,0,0
0,11/5/2017,0,9,13,0.692,0,1,0,3,6,0.5,2,1,0,21,19.2,0,0
0,11/7/2017,0,10,19,0.526,2,3,0.667,3,3,1,1,1,3,25,19.5,0,0
0,11/10/2017,0,8,14,0.571,0,1,0,4,4,1,3,1,2,20,21.6,0,0
0,11/11/2017,0,7,11,0.636,0,0,0,0,0,0,4,0,0,14,15.3,0,0
0,11/14/2017,1,12,21,0.571,0,2,0,8,10,0.8,1,1,1,32,25,0,0
0,11/15/2017,1,5,14,0.357,0,1,0,5,5,1,5,0,4,15,9.7,0,0
0,11/17/2017,0,8,14,0.571,0,1,0,10,12,0.833,5,0,3,26,21.8,0,0
0,11/20/2017,0,11,24,0.458,0,2,0,0,0,0,5,0,2,22,14.2,0,0
0,11/22/2017,1,7,14,0.5,0,1,0,2,2,1,2,0,4,16,8.1,0,0
0,11/25/2017,1,6,13,0.462,0,1,0,5,5,1,2,0,3,17,16.2,0,0
0,11/27/2017,0,13,19,0.684,0,0,0,7,7,1,2,2,3,33,33.7,0,0
0,11/29/2017,0,17,24,0.708,3,3,1,4,4,1,2,0,2,41,34.2,0,0
0,12/1/2017,1,7,17,0.412,3,5,0.6,5,6,0.833,4,0,2,22,14.8,0,0
0,12/3/2017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,12/4/2017,0,5,17,0.294,0,1,0,7,7,1,1,1,3,17,10.1,0,0
0,12/6/2017,0,7,16,0.438,0,0,0,4,4,1,4,0,5,18,10.1,0,0
0,12/8/2017,0,11,20,0.55,1,2,0.5,4,4,1,6,0,4,27,19.9,0,0
0,12/9/2017,1,7,18,0.389,0,1,0,6,7,0.857,5,0,2,20,17.2,0,0
0,12/12/2017,1,9,23,0.391,0,1,0,5,6,0.833,4,0,0,23,14,0,0
0,12/15/2017,1,8,21,0.381,0,2,0,0,0,0,6,1,1,16,10.7,0,0
0,12/16/2017,0,9,18,0.5,0,0,0,4,4,1,6,0,1,22,18.6,0,0
0,12/18/2017,0,7,13,0.538,0,0,0,5,6,0.833,0,0,3,19,13.5,0,0
0,12/20/2017,1,10,17,0.588,0,2,0,2,3,0.667,2,0,2,22,13.9,1,0
0,12/21/2017,1,4,11,0.364,1,1,1,2,2,1,1,1,6,11,3.1,0,0
0,12/23/2017,1,13,22,0.591,2,3,0.667,1,1,1,4,0,2,29,22,0,0
0,12/26/2017,0,7,15,0.467,0,1,0,6,7,0.857,2,2,3,20,17.3,0,0
0,12/28/2017,0,8,19,0.421,0,2,0,9,12,0.75,2,0,1,25,18.8,0,0
0,12/30/2017,1,6,15,0.4,0,1,0,3,4,0.75,5,0,1,15,13.5,0,0
0,1/2/2018,1,10,23,0.435,1,2,0.5,8,10,0.8,2,1,2,29,21,0,0
0,1/3/2018,1,10,21,0.476,0,0,0,4,6,0.667,5,1,4,24,17.8,0,0
0,1/5/2018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1/7/2018,1,12,21,0.571,1,2,0.5,5,7,0.714,7,1,3,30,27.5,1,0
0,1/8/2018,1,13,20,0.65,0,2,0,5,6,0.833,4,0,2,31,26.6,0,0
0,1/11/2018,1,6,15,0.4,1,1,1,7,8,0.875,3,0,1,20,11.9,0,0
0,1/13/2018,0,7,13,0.538,0,2,0,1,1,1,2,1,4,15,9.4,0,0
0,1/15/2018,1,11,21,0.524,1,2,0.5,2,3,0.667,4,1,2,25,20.2,0,0
0,1/17/2018,1,13,24,0.542,0,1,0,8,8,1,1,0,2,34,25.9,0,0
0,1/19/2018,1,6,25,0.24,1,3,0.333,4,5,0.8,6,1,1,17,11.5,0,0
0,1/21/2018,0,5,14,0.357,0,1,0,0,0,0,6,0,1,10,5.3,0,0
0,1/23/2018,0,12,18,0.667,0,1,0,6,7,0.857,3,2,0,30,28.2,0,0
0,1/24/2018,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1/26/2018,0,7,12,0.583,0,1,0,4,4,1,0,0,2,18,12.2,0,0
0,1/28/2018,0,6,17,0.353,0,1,0,3,4,0.75,5,0,1,15,13,0,0
0,1/30/2018,0,14,23,0.609,0,0,0,2,2,1,3,0,3,30,17.8,0,0
0,2/1/2018,0,8,15,0.533,0,0,0,0,0,0,2,0,1,16,11.6,0,0
0,2/3/2018,0,12,19,0.632,1,1,1,6,8,0.75,2,3,4,31,26.9,0,0
0,2/7/2018,1,10,14,0.714,0,1,0,3,5,0.6,6,0,2,23,26.1,0,0
0,2/10/2018,1,9,14,0.643,0,0,0,2,2,1,3,0,1,20,20.3,0,0
0,2/12/2018,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,2/13/2018,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,2/23/2018,1,13,23,0.565,0,1,0,12,14,0.857,3,1,3,38,30.9,0,0
0,2/25/2018,1,9,20,0.45,0,0,0,9,10,0.9,1,0,1,27,18.8,0,0
0,2/28/2018,0,4,8,0.5,0,0,0,0,0,,2,0,1,8,5.3,0,0
0,3/3/2018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,3/5/2018,0,2,8,0.25,0,1,0,3,4,0.75,2,1,1,7,5,0,0
0,3/8/2018,1,11,20,0.55,0,1,0,8,11,0.727,5,0,1,30,26.7,0,0
0,3/10/2018,1,5,16,0.313,0,1,0,1,2,0.5,3,1,5,11,1.4,0,0
0,3/12/2018,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,3/13/2018,0,11,17,0.647,0,0,0,2,4,0.5,3,0,1,24,19,0,0
0,3/15/2018,0,11,27,0.407,0,1,0,3,3,1,4,0,1,25,14.6,0,0
0,3/17/2018,0,14,22,0.636,0,2,0,11,12,0.917,4,0,4,39,33.6,0,0
0,3/19/2018,0,13,22,0.591,0,0,0,7,7,1,2,1,2,33,28.5,0,0
0,3/21/2018,0,12,23,0.522,0,2,0,3,3,1,3,1,1,27,24.4,0,0
0,3/23/2018,0,19,28,0.679,1,1,1,6,8,0.75,2,1,3,45,35,0,0
0,3/25/2018,1,12,21,0.571,0,0,0,10,12,0.833,4,0,3,34,27.9,0,0
0,3/27/2018,1,4,6,0.667,0,0,0,5,6,0.833,1,0,1,13,12.3,0,0
0,3/29/2018,0,9,19,0.474,1,1,1,6,8,0.75,6,0,2,25,18.2,0,0
0,4/1/2018,0,11,19,0.579,0,0,0,1,1,1,3,0,3,23,20.8,0,0
0,4/3/2018,1,13,21,0.619,0,1,0,9,9,1,4,2,4,35,33,0,0
0,4/4/2018,1,12,20,0.6,0,2,0,4,5,0.8,3,1,0,28,25.8,0,0
0,4/7/2018,0,13,22,0.591,0,1,0,2,2,1,2,4,1,28,23.3,1,0
0,4/9/2018,0,6,19,0.316,0,1,0,3,4,0.75,4,0,1,15,11.9,0,0
0,4/11/2018,1,5,12,0.417,0,0,0,1,1,1,3,1,2,11,6.5,0,0
